source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
VEEV_12.19_230call2027-01-15.txt,2025-12-19,23:26:20,VEEV,ASK,230,call,2027-01-15,392d,$222.00,$30.50 - $33.70,$33.10,272,$900K,350,137,2.55,78%,"14,963",39.55,0.5501,-0.0466,0.0043,0.9106,0.9561,33.10,Healthcare,Health Information Services,75,Floor Trade Large Cap,230 call 2027-01-15
VEEV_12.19_230call2027-01-15.txt,2025-12-19,23:22:42,VEEV,BID,220,call,2026-06-18,181d,$221.17,$24.90 - $25.10,$24.90,97,$242K,140,25,5.60,99%,"5,474",39.13,0.5644,-0.0671,0.0065,0.6132,0.4955,24.90,Healthcare,Health Information Services,75,,220 call 2026-06-18
VEEV_12.19_230call2027-01-15.txt,2025-12-19,23:12:22,VEEV,BID,220,call,2026-06-18,181d,$220.15,$23.20 - $24.40,$23.66,39,$92K,39,25,1.56,100%,"2,170",38.04,0.5563,-0.0651,0.0067,0.6123,0.49,23.66,Healthcare,Health Information Services,75,,220 call 2026-06-18
VEEV_12.19_230call2027-01-15.txt,2025-12-19,04:53:40,VEEV,ASK,320,put,2026-03-20,91d,$217.97,$99.90 - $103.80,$102.12,4,$41K,4,0,-,100%,-392,35.33,-0.9809,-0.008,0.0012,0.0509,-0.7963,102.12,Healthcare,Health Information Services,75,,320 put 2026-03-20
VEEV_12.19_230call2027-01-15.txt,2025-12-19,04:22:16,VEEV,ASK,270,put,2026-01-16,28d,$216.87,$51.10 - $54.80,$54.80,"2,440",$13.4M,"4,190",271,15.46,100%,"-218,134",58.41,-0.894,-0.1119,0.0051,0.1119,-0.1976,54.80,Healthcare,Health Information Services,75,,270 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-19,04:22:16,VEEV,ASK,280,put,2026-01-16,28d,$216.87,$61.10 - $64.80,$64.80,"1,250",$8.1M,"2,262",135,16.76,100%,"-112,838",65.23,-0.9027,-0.1174,0.0043,0.1052,-0.207,64.80,Healthcare,Health Information Services,75,,280 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-19,04:22:16,VEEV,ASK,230,put,2025-12-19,0d,$216.87,$11.10 - $13.90,$12.87,"2,810",$3.62M,"2,819",367,7.68,100%,"-242,553",100.18,-0.8632,-1.2453,0.0193,0.0249,-0.0055,13.90,Healthcare,Health Information Services,75,,230 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,04:00:55,VEEV,ASK,260,put,2026-01-16,28d,$216.84,$41.00 - $44.70,$44.70,195,$872K,195,26,7.50,100%,"-17,317",50.02,-0.8881,-0.0996,0.0062,0.1164,-0.1885,44.70,Healthcare,Health Information Services,75,,260 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:52:20,VEEV,ASK,240,put,2025-12-19,0d,$217.35,$21.50 - $23.90,$23.90,292,$698K,292,39,7.49,100%,"-25,229",165.85,-0.864,-2.058,0.0116,0.0248,-0.0058,23.90,Healthcare,Health Information Services,75,,240 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:52:20,VEEV,ASK,270,put,2026-01-16,28d,$217.35,$50.30 - $54.70,$54.70,"1,620",$8.86M,"1,620",271,5.98,100%,"-142,434",61.18,-0.8792,-0.1291,0.0054,0.1231,-0.1953,54.70,Healthcare,Health Information Services,75,,270 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:52:20,VEEV,ASK,280,put,2026-01-16,28d,$217.35,$60.30 - $64.30,$64.30,"1,012",$6.51M,"1,012",135,7.50,100%,"-91,395",64.60,-0.9031,-0.1161,0.0043,0.1051,-0.207,64.30,Healthcare,Health Information Services,75,,280 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,ASK,270,put,2025-12-19,0d,$217.35,$50.70 - $54.10,$52.70,"2,800",$14.8M,"2,800",279,10.04,100%,"-277,895",167.44,-0.9925,-0.1968,0.0011,0.0024,-0.0074,52.70,Healthcare,Health Information Services,75,,270 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,ASK,250,put,2025-12-19,0d,$217.35,$31.40 - $33.90,$32.70,"2,750",$8.99M,"2,750",298,9.23,100%,"-272,106",114.43,-0.9895,-0.1806,0.0021,0.0032,-0.0068,32.70,Healthcare,Health Information Services,75,,250 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,ASK,260,put,2025-12-19,0d,$217.35,$40.70 - $44.60,$43.20,600,$2.59M,600,61,9.84,100%,"-56,624",208.55,-0.9437,-1.3426,0.0048,0.0129,-0.0068,43.20,Healthcare,Health Information Services,75,,260 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,ASK,280,put,2025-12-19,0d,$217.35,$61.60 - $63.70,$63.00,900,$5.67M,900,78,11.54,100%,"-87,101",252.66,-0.9678,-1.0363,0.0025,0.0082,-0.0075,63.00,Healthcare,Health Information Services,75,,280 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,BID,290,put,2025-12-19,0d,$217.35,$71.60 - $73.70,$72.30,800,$5.78M,800,80,10.00,100%,"-74,766",344.18,-0.9346,-2.4939,0.0033,0.0145,-0.0076,73.70,Healthcare,Health Information Services,75,,290 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,BID,300,put,2025-12-19,0d,$217.35,$80.70 - $83.90,$82.20,400,$3.29M,550,57,9.65,100%,"-37,239",388.52,-0.931,-2.9342,0.003,0.0151,-0.0078,83.90,Healthcare,Health Information Services,75,,300 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-19,03:37:43,VEEV,BID,300,put,2025-12-19,0d,$217.35,$80.70 - $83.90,$82.10,150,$1.23M,150,57,2.63,100%,"-13,965",388.52,-0.931,-2.9342,0.003,0.0151,-0.0078,83.90,Healthcare,Health Information Services,75,,300 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,04:36:08,VEEV,ASK,260,put,2026-01-16,28d,$216.29,$41.80 - $45.40,$43.64,140,$611K,140,75,1.87,100%,"-12,354",50.92,-0.8824,-0.103,0.0062,0.1222,-0.1942,45.40,Healthcare,Health Information Services,75,,260 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-18,04:36:08,VEEV,BID,240,put,2025-12-19,0d,$216.29,$22.70 - $25.10,$23.87,180,$430K,180,40,4.50,100%,"-17,396",75.60,-0.9665,-0.225,0.0062,0.0119,-0.0128,23.87,Healthcare,Health Information Services,75,,240 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,04:03:16,VEEV,ASK,280,put,2026-01-16,28d,$216.36,$61.50 - $64.70,$64.70,660,$4.27M,660,135,4.89,100%,"-61,252",58.20,-0.9281,-0.0816,0.0038,0.085,-0.2182,64.70,Healthcare,Health Information Services,75,,280 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,ASK,250,put,2025-12-19,0d,$216.62,$32.20 - $34.40,$33.40,"1,375",$4.59M,"1,375",298,4.61,100%,"-136,720",75.63,-0.9943,-0.0482,0.0013,0.0026,-0.0136,33.40,Healthcare,Health Information Services,75,,250 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,ASK,260,put,2025-12-19,0d,$216.62,$41.40 - $45.00,$43.70,300,$1.31M,300,61,4.92,100%,"-28,851",135.41,-0.9617,-0.4506,0.0038,0.0133,-0.0138,43.70,Healthcare,Health Information Services,75,,260 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,ASK,270,put,2025-12-19,0d,$216.62,$51.40 - $54.60,$53.40,"1,400",$7.48M,"1,400",279,5.02,100%,"-139,433",110.67,-0.9959,-0.0523,0.0007,0.0019,-0.0147,53.40,Healthcare,Health Information Services,75,,270 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,ASK,280,put,2025-12-19,0d,$216.62,$62.20 - $64.20,$63.50,450,$2.86M,450,80,5.63,100%,"-44,350",154.61,-0.9856,-0.2262,0.0015,0.0059,-0.0152,63.50,Healthcare,Health Information Services,75,,280 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,BID,290,put,2025-12-19,0d,$216.62,$72.20 - $74.20,$72.90,400,$2.92M,400,80,5.00,100%,"-37,799",233.96,-0.945,-1.0428,0.003,0.0178,-0.0153,74.20,Healthcare,Health Information Services,75,,290 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-18,03:33:43,VEEV,BID,300,put,2025-12-19,0d,$216.62,$81.40 - $85.00,$82.80,175,$1.45M,175,57,3.07,100%,"-16,060",293.56,-0.9177,-1.7861,0.0032,0.0244,-0.0156,85.00,Healthcare,Health Information Services,75,,300 put 2025-12-19
VEEV_12.19_230call2027-01-15.txt,2025-12-17,04:37:17,VEEV,BID,260,put,2026-01-16,28d,$217.40,$41.20 - $44.40,$42.79,370,$1.58M,370,75,4.93,100%,"-35,864",32.00,-0.9693,-0.0213,0.0034,0.0439,-0.2153,42.79,Healthcare,Health Information Services,75,,260 put 2026-01-16
VEEV_12.19_230call2027-01-15.txt,2025-12-17,03:50:06,VEEV,ASK,270,put,2025-12-19,0d,$217.45,$51.40 - $54.00,$53.00,"1,400",$7.42M,"2,410",279,8.64,100%,"-133,902",134.74,-0.9564,-0.4079,0.0035,0.0182,-0.0215,53.00,Healthcare,Health Information Services,75,,270 put 2025-12-19
